S,C_0,C_5,C_10,C_25
113.30000000000001,14.542219950611866,14.542219959486161,14.547016047080945,15.450255221457567
113.35,14.592219950611849,14.592219958619168,14.596878797553885,15.494136676755758
113.4,14.64221995061186,14.642219957835152,14.646745227827012,15.5380538437594
113.45,14.692219950611857,14.692219957126227,14.696615247007557,15.582006560085674
113.5,14.742219950611855,14.742219956485414,14.74648876621427,15.625994663720931
113.55000000000001,14.792219950611866,14.792219955906347,14.79636569853973,15.670017993023095
113.6,14.842219950611849,14.842219955383158,14.846245959012961,15.714076386723676
113.65,14.89221995061186,14.892219954910615,14.896129464562861,15.758169683929978
113.7,14.942219950611857,14.942219954483903,14.946016133981772,15.802297724127229
113.75,14.992219950611855,14.992219954098687,14.995905887889904,15.84646034718061
