month-01,cape_excess_yield
1958-03-01,0.0629912501
1958-04-01,0.0626779426
1958-05-01,0.059791646
1958-06-01,0.0569556792
1958-07-01,0.0522775645
1958-08-01,0.0455851637
1958-09-01,0.0418210663
1958-10-01,0.0394570907
1958-11-01,0.0397210334
1958-12-01,0.0373380632
1959-01-01,0.0345207005
1959-02-01,0.0363142502
1959-03-01,0.034647733
1959-04-01,0.0325871431
1959-05-01,0.0303543247
1959-06-01,0.0306856984
1959-07-01,0.0294706358
1959-08-01,0.0291047562
1959-09-01,0.0289574265
1959-10-01,0.0319737365
1959-11-01,0.0313906123
1959-12-01,0.0290100769
1960-01-01,0.0296345279
1960-02-01,0.0347475776
1960-03-01,0.0375682345
1960-04-01,0.0371382962
1960-05-01,0.0365831839
1960-06-01,0.0366545618
1960-07-01,0.0393169606
1960-08-01,0.0388017051
1960-09-01,0.0401510388
1960-10-01,0.0406836845
1960-11-01,0.0379701285
1960-12-01,0.0362592262
1961-01-01,0.0318448487
1961-02-01,0.0291030547
1961-03-01,0.0275102578
1961-04-01,0.0257786335
1961-05-01,0.0255723485
1961-06-01,0.0245079262
1961-07-01,0.0252400093
1961-08-01,0.0218168152
1961-09-01,0.0225205738
1961-10-01,0.0222275047
1961-11-01,0.0192153216
1961-12-01,0.0172515332
1962-01-01,0.0188569437
1962-02-01,0.0198034789
1962-03-01,0.020922021
1962-04-01,0.0235452279
1962-05-01,0.0272238021
1962-06-01,0.0334817836
1962-07-01,0.0309672893
1962-08-01,0.0298398508
1962-09-01,0.030994333
1962-10-01,0.0335002782
1962-11-01,0.0298711281
1962-12-01,0.0282668957
1963-01-01,0.0270658418
1963-02-01,0.0259876756
1963-03-01,0.026321101
1963-04-01,0.0237031688
1963-05-01,0.0228576784
1963-06-01,0.0225058371
1963-07-01,0.0235558256
1963-08-01,0.0221470066
